ovNo,ovBalls/0,ovBalls/1,ovBalls/2,ovBalls/3,ovBalls/4,ovBalls/5,id,inningId
2,1,0,0,0,1,1,2,1
5,0,0,4,0,0,0,5,1
6,0,0,0,0,1,1,6,1
7,0,0,0,0,1,4,7,1
8,0,0,1,0,0,0,8,1
9,0,0,0,0,0,0,9,1
10,4,0,4,0,0,2,10,1
11,0,1,0,0,0,0,11,1
12,0,0,0,0,0,0,12,1
13,0,4,0,1,0,0,13,1
14,0,0,0,1,1Lb,0,14,1
15,0,4,2,0,0,0,15,1
16,0,0,4,0,0,0,16,1
17,0,0,0,0,0,0,17,1
18,1,1,0,1,0,0,18,1
20,1,W,0,0,1,4,20,1
21,0,0,0,0,0,0,21,1
22,0,0,1,0,1,1,22,1
23,0,4,0,0,1,0,23,1
24,0,0,0,0,W,0,24,1
25,0,0,0,0,0,0,25,1
26,0,0,0,0,0,0,26,1
28,6,4,1,0,1,2,28,1
29,1,1,4,0,0,0,29,1
30,1,0,0,0,0,0,30,1
31,4,0,0,6,4,0,31,1
32,1,0,0,1,0,1,32,1
33,0,1,0,1,0,1,33,1
34,1,1,2,0,1,0,34,1
36,0,0,1,1,1,0,36,1
37,0,2,0,0,0,1,37,1
38,0,1,0,2,1,1,38,1
39,0,1,0,1,1,1,39,1
40,0,1,1,0,1,1,40,1
41,6,0,1,0,4,1,41,1
42,W,1,0,0,0,2,42,1
43,0,0,1,0,4,0,43,1
44,0,0,1,4,0,W,44,1
45,1,1,0,0,W,1,45,1
46,0,1,1Lb,6,2,1,46,1
47,1,1,4,0,4,1,47,1
48,1,0,4,1,4,6,48,1
50,W,4,W,1,2,6,50,1
1,0,6,W,4,0,0,51,2
2,0,0,0,0,0,0,52,2
3,0,0,0,0,0,0,53,2
4,1Lb,0,4,1,1,W,54,2
5,0,0,0,0,4,0,55,2
6,0,0,0,0,2,2,56,2
7,0,0,4,0,1Lb,1,57,2
8,0,1,0,0,0,0,58,2
9,1,0,0,1,0,1,59,2
10,0,0,2,0,0,0,60,2
11,1,1,W,0,1,0,61,2
13,1,0,0,0,0,0,63,2
14,0,0,0,0,0,0,64,2
15,1,0,0,0,0,0,65,2
16,0,0,0,0,0,0,66,2
17,0,4,4,0,0,0,67,2
18,0,0,0,0,4,1,68,2
19,1,4,0,1,1,0,69,2
20,0,0,0,0,0,0,70,2
21,0,0,0,0,1,1,71,2
22,0,1,1,1,1,1,72,2
23,1,0,0,1,1,0,73,2
24,1,4,0,0,0,1,74,2
25,0,0,0,1,1,0,75,2
26,1,1,0,0,1,1,76,2
27,1,1,1,0,2,1,77,2
28,1,1,1,1,0,1,78,2
29,1,0,1,0,0,W,79,2
30,0,1,0,4,0,1,80,2
31,0,0,0,1,1,1,81,2
32,1,1,0,0,1,0,82,2
33,4,1,0,W,W,0,83,2
34,1,0,0,1,1,0,84,2
35,1,1,0,1,1,1,85,2
36,1,0,0,1,0,1,86,2
37,1,0,0,0,0,1,87,2
38,0,0,0,1,1,0,88,2
39,1,1,1,0,2,1,89,2
40,0,1,4,1,0,0,90,2
41,1,W,0,0,0,0,91,2
42,0,1,1,6,1,0,92,2
44,1,0,1,1,1,1,94,2
45,0,1,0,1,1,2,95,2
46,1,1,1,1,4,1,96,2
47,0,1,2,0,W,W,97,2
1,0,0,0,0,1,0,99,3
3,0,1,4,1Lb,0,4,101,3
4,4,0,0,1,0,4,102,3
7,1,0,6,0,0,4,105,3
8,0,0,4,2,0,0,106,3
9,1,0,0,1,0,0,107,3
10,0,1,1,0,1,5,108,3
11,2,0,1,0,0,1,109,3
12,2,0,4,1,0,0,110,3
13,0,1,1,0,0,0,111,3
14,0,0,1,0,1,1,112,3
15,0,4,0,0,1,0,113,3
16,0,1,1,0,1,1,114,3
17,0,0,4,0,0,W,115,3
18,1,0,0,0,0,0,116,3
19,1,4,0,0,0,0,117,3
20,4,0,0,0,0,1,118,3
21,1,4,1,1,4,0,119,3
22,0,0,0,1,0,0,120,3
23,1,0,0,4,1,0,121,3
24,0,4,0,1,0,0,122,3
26,0,0,0,1,1,0,124,3
27,1,1,1,1,W,0,125,3
28,0,1,0,0,0,4,126,3
29,0,6,0,0,4,1,127,3
30,0,1,1,6,1,0,128,3
31,1,1,1,1,0,1,129,3
32,1,1,2,1,1,4,130,3
33,1,1Lb,1,1,0,0,131,3
34,1,1,1,1,0,4,132,3
35,2,0,W,4,1,0,133,3
36,4,2,0,0,1,1,134,3
37,2,0,1,0,0,1,135,3
38,0,1,6,0,1,0,136,3
39,2,6,1,4,1,1,137,3
40,0,1,1,1,1,1,138,3
41,1,2,1,1,1,4,139,3
42,1,1,0,0,0,1,140,3
43,1,1B,1,0,2,0,141,3
44,W,0,1,1,1,1,142,3
46,0,W,0,0,1,1,144,3
48,1,2,0,1,4,4,146,3
49,4,1,4,1,6,1,147,3
50,6,2,4,6,2,4,148,3
1,0,0,0,0,0,0,149,4
3,0,0,1,1,1,0,151,4
4,0,0,0,2,0,0,152,4
5,0,0,0,2,1,1,153,4
6,4,0,0,0,2W,1,154,4
7,0,0,1,1,0,0,155,4
9,0,0,1,0,0,0,157,4
10,1,1,W,0,0,0,158,4
11,0,0,0,0,0,0,159,4
12,1,0,1,0,0,0,160,4
13,0,1,0,1,1,0,161,4
14,0,0,W,0,0,4,162,4
15,0,0,0,0,1,0,163,4
16,0,0,W,0,0,0,164,4
17,0,0,4,0,0,0,165,4
18,0,0,1,0,0,0,166,4
19,0,2,4,0,4,0,167,4
21,0,0,0,0,1,2Lb,169,4
22,0,0,0,1,0,0,170,4
23,1,1,1,1,0,1,171,4
25,1,0,1,0,0,0,173,4
26,1,1,1,0,0,1,174,4
27,1,0,0,0,4,0,175,4
28,0,1,1,W,1,0,176,4
29,0,0,0,0,0,1,177,4
30,0,0,1,1,1,4,178,4
31,0,0,0,0,0,0,179,4
32,0,0,0,1,0,0,180,4
33,0,0,1,4Lb,W,0,181,4
34,0,0,0,0,1,0,182,4
36,0,1,0,2,1,0,184,4
37,1,1Lb,4,1,1,0,185,4
38,0,1,0,0,0,0,186,4
39,0,0,1,1,0,0,187,4
40,0,1,0,0,1,W,188,4
1,0,0,1,0,4,0,190,5
3,0,0,0,0,0,1,192,5
4,0,0,0,0,4,0,193,5
5,0,0,0,0,0,0,194,5
6,1,0,0,4,0,0,195,5
7,1,0,0,0,1,0,196,5
10,0,0,4,4,0,0,199,5
11,0,0,W,0,3,1,200,5
14,4,4,4,0,4,4,203,5
15,1,0,W,0,2,1,204,5
16,4,0,0,0,0,0,205,5
18,0,0,0,0,0,0,207,5
20,0,0,0,0,0,0,209,5
21,0,0,0,2,1,2,210,5
22,1,0,0,0,0,0,211,5
23,0,0,0,0,1,0,212,5
24,0,1Lb,1,0,0,0,213,5
25,0,0,1,0,1,0,214,5
26,3,0,W,0,0,1,215,5
27,0,0,0,1,1,0,216,5
28,1,0,0,4,0,0,217,5
29,0,1,0,0,1,1,218,5
30,0,0,0,0,1,1,219,5
31,0,W,1,1,0,0,220,5
32,0,1,0,0,0,4,221,5
33,1,0,0,1Lb,0,0,222,5
34,0,0,1Lb,1,0,1,223,5
35,W,0,0,0,0,0,224,5
36,1,0,2,0,0,0,225,5
37,4,1,0,0,0,0,226,5
38,1,1,0,0,0,0,227,5
39,1,0,1,1,0,1,228,5
40,1,0,0,0,0,1,229,5
41,2,1,W,0,0,1,230,5
42,0,0,0,0,0,0,231,5
43,1,0,0,1,1,0,232,5
44,2,1,0,4,1,1,233,5
45,1,1,0,1,1,0,234,5
46,1,1,1,1,1,6,235,5
47,1,0,W,0,2,6,236,5
48,1,0,1,W,0,0,237,5
49,1,1,W,0,0,0,238,5
50,0,1,2,4,4,1W,239,5
3,1,1,1,0,4,0,242,6
5,0,0,4,6,0,0,244,6
7,2,1Lb,0,1,0,0,246,6
16,0,0,0,0,1,1,255,6
18,0,0,4,0,0,1,257,6
20,1,0,1,1,0,0,259,6
21,0,1,0,2,4,0,260,6
22,0,0,0,0,0,1,261,6
23,0,0,0,0,1,0,262,6
24,0,1,6,1,0,1,263,6
25,0,0,0,0,0,0,264,6
26,0,0,1,0,1,0,265,6
27,0,1,1,0,4,W,266,6
28,1,0,0,0,1,1,267,6
29,1,0,0,3,1,0,268,6
30,1,2,0,0,0,0,269,6
31,1,0,2,0,0,0,270,6
32,0,0,1,0,2,0,271,6
33,0,0,1,1,0,0,272,6
35,2,0,0,0,1,0,274,6
36,4,4,0,1,0,1,275,6
37,0,0,0,0,0,4,276,6
38,1,0,0,0,0,0,277,6
39,1,0,1,0,1,1,278,6
40,0,1,4,1,4,1,279,6
41,1,0,0,1,1,1,280,6
42,0,0,4,0,0,2,281,6
43,1,1,1,1,1,2,282,6
2,0,2,0,0,0,0,285,7
4,2Lb,1,1,0,0,0,287,7
5,0,1,6,0,0,0,288,7
6,1,0,0,0,4,2,289,7
8,4,0,3,1,0,0,291,7
9,0,0,W,0,1,0,292,7
10,1,0,0,0,0,1,293,7
14,0,0,0,0,0,0,297,7
15,4,1Lb,0,0,1,0,298,7
17,0,0,2,0,1,0,300,7
18,0,4,0,0,0,0,301,7
19,0,0,4,2,0,0,302,7
21,0,0,2,0,0,1,304,7
22,0,3,0,1,1,1,305,7
23,0,0,1,0,0,0,306,7
24,1,1,0,0,4,1,307,7
26,1,1,1,0,3,1,309,7
28,0,1,0,0,1,1,311,7
29,0,1,6,0,1,2,312,7
30,0,0,1,1,1,4,313,7
31,1,2,0,1,1,2,314,7
33,1,2,0,1,1,2,316,7
35,2,1,4,1,4,1,318,7
37,1,0,4,0,2,1,320,7
38,1,1,W,0,0,1,321,7
39,1,1,1,0,1,1,322,7
40,4,0,1,1,1,0,323,7
42,4,1,1,4,0,0,325,7
43,W,0,0,0,1,0,326,7
44,1,1,1,4,1,0,327,7
45,2,0,1,1,0,1,328,7
46,2,2,1,1,2,1,329,7
47,0,1,0,1,0,2,330,7
48,4,1,1,1,2,2,331,7
49,W,1,1,4,4,0,332,7
50,0,1,W,2,1,2,333,7
1,0,0,0,0,W,0,334,8
3,0,0,0,0,0,0,336,8
4,W,0,0,0,1,0,337,8
5,0,2,3,0,0,0,338,8
6,0,4,0,2,0,1,339,8
7,0,0,0,1,4,0,340,8
8,W,W,0,4Lb,0,0,341,8
9,0,0,0,1,0,0,342,8
10,0,0,0,0,0,0,343,8
11,0,0,0,0,0,0,344,8
12,0,W,4,0,W,0,345,8
13,0,0,0,0,4,0,346,8
14,0,2,0,0,4,0,347,8
15,0,0,W,0,1,1,348,8
16,0,0,2,0,0,0,349,8
18,0,0,0,0,0,0,351,8
19,0,1,0,4,0,0,352,8
20,0,0,1,0,0,0,353,8
21,0,6,0,1,0,0,354,8
22,0,4,1,0,W,0,355,8
23,0,0,2Lb,1,0,6,356,8
24,4,W,0,0,0,1,357,8
1,0,0,0,0,0,W,359,9
2,0,2,0,0,1,0,360,9
3,0,0,0,0,0,0,361,9
6,1,1,4,0,0,0,364,9
8,3,0,2,0,4,0,366,9
9,0,0,0,0,0,0,367,9
11,0,0,0,W,0,0,369,9
12,0,0,4,0,0,5,370,9
15,0,1,W,0,0,0,373,9
16,0,0,0,0,0,0,374,9
18,0,0,4,0,0,0,376,9
19,0,1,0,1,1,0,377,9
20,0,0,4,0,0,0,378,9
21,0,0,0,0,0,0,379,9
23,0,1,0,0,0,0,381,9
24,4,0,0,4,0,0,382,9
25,0,0,0,1,0,0,383,9
26,0,1,1,2,0,0,384,9
27,0,1,0,0,0,1,385,9
28,0,1,1,0,1,1,386,9
29,0,0,0,0,0,1,387,9
30,1,0,0,1,0,1,388,9
31,0,1,4,2,0,0,389,9
32,0,1,0,1B,0,1,390,9
33,0,1,1,0,1,0,391,9
34,0,1,0,0,1,1,392,9
35,0,1,0,1,0,0,393,9
36,0,1,1,4,0,0,394,9
37,1,1,1,4,1,0,395,9
38,0,0,W,0,0,4,396,9
39,2,1,0,1,1,1,397,9
40,1,0,4,1,1,0,398,9
41,0,0,1,1,0,0,399,9
42,1,0,1,1,2,0,400,9
43,0,1,0,0,1,0,401,9
44,2,4,0,1,4,W,402,9
45,0,0,W,0,0,0,403,9
46,1,1,4,0,1,0,404,9
47,1,0,0,2,1,1,405,9
48,0,4,1,0,1,1,406,9
49,2,2,2,1,0,4,407,9
50,2,1,2,2,2,W,408,9
1,0,4,1,0,0,0,409,10
2,0,4,0,0,0,0,410,10
6,0,0,0,0,0,W,414,10
7,0,0,0,0,0,1,415,10
10,0,4,3,0,0,0,418,10
11,4,0,0,1,0,0,419,10
12,0,2,1,0,0,0,420,10
15,1,0,0,0,0,0,423,10
16,0,0,0,0,0,0,424,10
17,0,0,0,4,0,0,425,10
18,0,0,0,0,1,0,426,10
19,0,4,1,2,0,0,427,10
21,1,0,0,2,W,0,429,10
22,0,1,0,4,2,1,430,10
23,4,2,0,0,0,1,431,10
24,0,W,0,0,0,0,432,10
25,0,0,0,0,0,0,433,10
26,1,4,1,1,0,0,434,10
27,0,0,2,0,1,4,435,10
28,1,0,0,6,0,0,436,10
29,W,0,0,0,0,0,437,10
30,0,1,2,2,0,W,438,10
31,0,0,0,1,0,0,439,10
32,0,1,0,0,0,4,440,10
33,4,0,0,3,0,1,441,10
34,1,0,4,1,1,1,442,10
36,0,0,0,0,0,0,444,10
37,0,4,0,0,1,0,445,10
38,0,4,0,0,1,1,446,10
39,0,0,0,0,0,0,447,10
40,1,0,4,0,1,0,448,10
41,4,1,1,0,0,1,449,10
43,1,2,2,1Lb,1,2,451,10
44,1,0,4,W,0,4,452,10
45,0,0,0,0,0,1,453,10
46,1,0,0,0,1,0,454,10
47,0,0,1,1,0,0,455,10
48,0,0,W,0,1,0,456,10
49,W,0,0,0,0,W,457,10
50,2,2,1,1,2,W,458,10
4,0,0,0,0,0,0,462,11
5,1,0,0,0,2,0,463,11
6,0,1,4,0,0,0,464,11
8,0,0,0,0,1,0,466,11
9,0,2,0,1,W,0,467,11
10,0,1,0,0,0,0,468,11
11,0,1,0,0,0,1,469,11
12,0,1,0,0,0,0,470,11
13,0,0,0,4,0,0,471,11
14,0,0,0,4,1,0,472,11
15,1,0,0,4,4,0,473,11
17,0,1,4,0,0,0,475,11
18,0,0,0,0,1,0,476,11
19,1,0,1,0,0,0,477,11
20,0,0,0,1,0,4,478,11
21,1,0,0,1,0,0,479,11
22,0,0,0,1,0,1,480,11
23,0,1,0,0,1,0,481,11
25,0,2,2,0,1,0,483,11
26,0,0,1,0,0,0,484,11
27,1,1,0,1,0,1,485,11
28,1,1,1,1,1,1,486,11
29,6,1,2,0,0,0,487,11
30,1,1,1,0,0,4,488,11
32,1,2,0,0,0,0,490,11
34,3,1,1,1,0,1,492,11
35,1,1,1,0,0,W,493,11
36,0,0,W,0,1,W,494,11
37,0,0,0,1,2,0,495,11
38,0,0,0,1,0,0,496,11
39,0,W,1,0,0,1,497,11
40,4,0,1,0,0,0,498,11
41,1,0,0,0,0,0,499,11
42,0,0,0,0,1,1,500,11
43,0,4,1,1,1,1,501,11
44,0,1,0,0,1,1,502,11
45,0,0,1,0,1,1,503,11
46,1,1,1,0,6,0,504,11
47,0,1,0,1,1,1,505,11
48,1,4,1Lb,1,4,1,506,11
50,2,2,1,2,1,1,508,11
3,0,0,1,0,0,0,511,12
4,0,1,0,4,0,0,512,12
5,4,1,1,0,0,W,513,12
6,0,2,0,2,0,4,514,12
7,4,0,1,0,1,4,515,12
8,2,0,0,0,0,2Lb,516,12
9,0,0,0,3,0,0,517,12
11,0,4,0,1,0,1,519,12
12,0,0,0,0,2,1,520,12
13,2,0,1,0,1,4,521,12
14,0,2,0,0,1,0,522,12
15,1,4,1,0,0,0,523,12
16,0,W,2B,1Lb,0,1,524,12
17,0,0,0,0,0,0,525,12
18,0,0,0,0,0,1,526,12
19,1,0,0,0,4Lb,1,527,12
20,1,1,0,1,1,0,528,12
21,0,0,2,1,1,0,529,12
22,1,3,1,0,0,1,530,12
24,1,6,1,0,0,1,532,12
26,0,0,4,1,0,0,534,12
27,1,0,1,1,1,0,535,12
28,1,1,1,4,2Lb,0,536,12
30,1,0,1,0,0,0,538,12
31,1,0,0,2,1,0,539,12
33,0,1,1,0,0,1,541,12
34,5,0,0,2,1,0,542,12
36,0,1,0,1,0,1,544,12
38,0,4,4,0,1,0,546,12
39,1,0,1,1,1,4,547,12
40,0,0,0,0,1,1,548,12
41,1,0,0,4,2,4,549,12
1,0,W,0,0,0,0,550,13
2,0,0,0,0,1,0,551,13
3,0,1,0,0,1,0,552,13
4,0,0,0,0,0,0,553,13
5,0,0,1,0,0,0,554,13
6,0,0,6,1,0,0,555,13
7,1,4,1,1,1,1,556,13
8,2,4,1,1,2,0,557,13
9,0,0,0,1,0,0,558,13
11,0,1,1Lb,0,0,0,560,13
13,1,1,0,1,2,6,562,13
14,0,0,0,0,6,0,563,13
16,1,0,0,0,1,1,565,13
17,0,1,4,1,4,0,566,13
18,1,2,1,2,1,0,567,13
19,0,1,1,1,1,W,568,13
20,0,1,0,1,0,0,569,13
21,0,1,0,0,1,1,570,13
22,4,0,4,1,0,0,571,13
23,1,1,1,4,0,1,572,13
24,0,4,1,0,1,2,573,13
25,1,1,1,1,1,1,574,13
26,0,0,0,1,0,0,575,13
27,0,1,1,1,0,1,576,13
28,4,0,0,2,1,4,577,13
29,0,4,1,6,1,0,578,13
30,6,6,6,6,6,6,579,13
31,1,0,0,4,W,0,580,13
32,4,2,1,1,1,1,581,13
33,4,1,1,1,1,1,582,13
34,1,1,4,1,4,1,583,13
36,6,1Lb,1,0,1,4,585,13
37,1,1,0,1,4,1,586,13
38,4,4,4,6,1,4,587,13
39,6,0,1,1,0,1,588,13
2,0,0,0,0,4,0,591,14
3,0,W,0,0,0,0,592,14
4,1,0,0,0,0,0,593,14
5,W,0,1Lb,0,0,0,594,14
6,1,0,1,0,0,0,595,14
7,0,0,0,0,0,1,596,14
8,0,1,0,4,0,0,597,14
9,0,0,0,0,0,1Lb,598,14
10,0,0,0,0,0,0,599,14
11,0,0,0,1,0,1,600,14
12,0,4,0,3,0,0,601,14
13,1,1,4,0,0,0,602,14
14,1,0,0,0,0,1,603,14
15,0,W,0,0,0,1,604,14
16,1Lb,0,0,0,0,0,605,14
17,1,1,1,0,0,0,606,14
18,0,4,0,0,0,0,607,14
19,0,0,4,0,0,0,608,14
20,1,W,0,0,0,1,609,14
21,0,4,0,0,0,0,610,14
22,4,0,1,0,0,1,611,14
23,0,0,4,0,0,0,612,14
24,0,0,1,0,0,0,613,14
25,0,0,1,0,0,1,614,14
26,1,0,0,4,1Lb,0,615,14
27,1,0,0,0,W,0,616,14
28,4,1,1,1,1,0,617,14
29,0,0,2,1,0,0,618,14
31,4,1,0,1,4,0,620,14
32,0,1,0,1,0,0,621,14
33,0,0,0,1,0,4,622,14
34,0,6,1,0,0,0,623,14
35,0,0,0,0,4,0,624,14
36,W,0,0,4,0,1,625,14
37,1,1,2,0,0,1,626,14
39,0,0,0,0,1,1W,628,14
40,0,0,0,1,0,W,629,14
2,0,0,0,0,0,0,631,15
4,0,0,1,1,0,0,633,15
5,0,0,0,0,0,0,634,15
6,0,0,0,0,4,0,635,15
9,0,0,0,1,0,0,638,15
10,0,0,0,0,0,0,639,15
11,0,4,0,0,0,0,640,15
12,0,2,2,1,0,0,641,15
13,0,0,0,1Lb,0,0,642,15
14,1,0,2,1,0,0,643,15
15,0,0,2Lb,0,0,W,644,15
16,2,0,0,4,4,0,645,15
17,0,0,1,0,0,0,646,15
18,0,0,3,0,0,0,647,15
19,0,1,4,0,0,0,648,15
20,1,0,0,0,0,0,649,15
21,0,0,0,0,0,1,650,15
22,0,0,0,0,1,0,651,15
23,1,0,1,1,1,1,652,15
24,1,1,0,1,1,1,653,15
25,W,0,0,0,0,0,654,15
26,0,0,1,0,1,1,655,15
27,0,1,0,1,1,1,656,15
28,1,1,2,0,0,1,657,15
29,1,0,0,0,0,0,658,15
30,0,0,1,1,1,2,659,15
31,0,1,1,0,0,2,660,15
33,2,0,0,0,0,0,662,15
34,0,4,0,0,4,2,663,15
35,1,1,4,1,0,1,664,15
36,0,1,2,1,1,1,665,15
37,0,1,0,1,0,1,666,15
38,0,0,0,0,1,2,667,15
39,0,2,1,0,0,1,668,15
40,1,1,1,0,1,0,669,15
41,0,4,1,0,4,1,670,15
42,6,0,2,1,0,0,671,15
43,1Lb,1,0,W,1,0,672,15
44,0,W,1Lb,0,W,0,673,15
45,0,W,0,0,0,0,674,15
47,0,4,1,0,0,1,676,15
49,0,1,0,4,2,1,678,15
1,0,0,0,4,1Lb,0,680,16
4,0,0,4,1,1,0,683,16
5,0,W,0,0,0,0,684,16
6,0,0,0,1,2,0,685,16
7,0,0,0,0,4,4,686,16
8,0,0,0,0,0,0,687,16
9,0,0,1,1,0,1,688,16
11,1,4,4,0,6,0,690,16
12,1,0,4,0,0,2,691,16
13,0,2,0,0,0,0,692,16
14,0,W,1,1,1,0,693,16
15,2,0,0,0,0,0,694,16
16,0,0,0,1,4,W,695,16
17,1,0,0,0,1,0,696,16
18,0,0,0,0,0,1,697,16
19,0,0,0,0,0,1,698,16
20,0,4,0,0,1,0,699,16
21,0,2,4,0,0,0,700,16
22,0,0,0,6,0,0,701,16
23,0,0,1,0,0,0,702,16
24,0,0,0,0,1,0,703,16
25,2,2,0,1,1,1,704,16
26,2,0,1,2,0,0,705,16
27,0,1,0,0,0,0,706,16
29,1,0,1,1,0,1,708,16
30,0,0,0,0,0,0,709,16
32,4,4,1,0,0,0,711,16
33,0,0,0,1,0,0,712,16
34,0,1,4,0,0,1,713,16
35,0,1,4,0,0,0,714,16
36,0,0,0,0,0,0,715,16
37,1,6,1,1,0,0,716,16
38,0,0,0,6,0,0,717,16
40,0,0,1,0,0,0,719,16
41,0,4,0,0,0,0,720,16
42,1,0,4,0,1,0,721,16
43,1,W,0,0,0,0,722,16
45,1,0,4,1,1,0,724,16
46,1,1,0,0,0,1,725,16
47,1,0,0,2,0,0,726,16
48,0,1,0,0,0,0,727,16
2,0,0,4,0,0,1,730,17
3,0,0,0,0,0,2,731,17
11,0,2,0,0,1,4,739,17
12,0,0,0,0,0,1,740,17
14,W,0,0,0,0,0,742,17
15,0,1,0,0,1,0,743,17
16,0,0,0,0,0,0,744,17
18,0,0,0,0,0,W,746,17
20,0,0,0,0,0,0,748,17
21,0,4,W,0,0,0,749,17
22,0,0,0,0,1,0,750,17
23,0,0,0,0,0,1,751,17
24,0,0,0,1,0,0,752,17
25,0,0,0,0,4,0,753,17
26,0,0,0,0,2,0,754,17
27,0,4,2,0,4,1,755,17
28,0,0,0,1,0,0,756,17
29,1Lb,0,0,0,0,0,757,17
30,2,0,4,2,0,0,758,17
32,0,0,1,0,1Lb,0,760,17
33,1,0,0,0,0,0,761,17
34,1,1,1,0,0,0,762,17
37,0,0,0,0,0,0,765,17
38,0,1,0,2,0,1,766,17
39,0,0,0,1,0,0,767,17
40,0,0,0,0,0,0,768,17
41,1,0,0,0,0,0,769,17
42,0,0,1,0,0,0,770,17
43,0,0,1,1Lb,0,1,771,17
44,W,0,0,0,0,1,772,17
45,0,0,0,0,0,0,773,17
1,1,0,1,0,0,0,775,18
2,0,1Lb,0,1,1,0,776,18
3,1,0,0,0,0,1,777,18
4,W,1,2,4,0,0,778,18
5,1,0,0,0,0,0,779,18
6,0,0,W,0,1,0,780,18
7,0,0,0,0,2,1,781,18
8,4,0,0,0,0,3,782,18
9,0,0,0,4,0,1,783,18
10,1,0,0,0,0,0,784,18
14,1,0,0,0,0,0,788,18
15,0,2,1,0,0,0,789,18
16,0,0,1Lb,0,0,0,790,18
17,0,1,0,1,0,0,791,18
18,0,0,0,0,1,1,792,18
19,2,0,4,0,0,0,793,18
20,0,1,0,0,1,0,794,18
21,4,0,0,0,1,W,795,18
23,0,2,0,1,0,0,797,18
24,0,0,0,0,1,W,798,18
26,2,0,1,0,0,0,800,18
29,0,2,0,0,0,1,803,18
30,0,1,0,0,1,0,804,18
31,1,0,4,0,0,0,805,18
33,0,0,0,1,0,0,807,18
35,0,1,4,0,W,W,809,18
38,0,0,0,1,0,0,812,18
39,0,0,0,1,0,4,813,18
41,0,0,0,0,1,0,815,18
2,1,4,1,0,1,0,818,19
3,1,4,1,1,0,0,819,19
4,0,0,1Lb,0,0,0,820,19
5,0,0,0,0,0,0,821,19
6,1,4,1,0,0,0,822,19
7,0,4,0,0,1,1,823,19
8,0,0,4,4,1,0,824,19
9,4,0,0,1,0,0,825,19
10,4,0,2,4,0,0,826,19
11,4,0,6,1,0,0,827,19
12,0,0,4,0,W,0,828,19
14,1,0,0,0,0,0,830,19
15,0,0,0,0,4,0,831,19
16,0,4,0,0,0,1,832,19
17,4,0,2,0,0,0,833,19
18,0,6,0,4,0,0,834,19
19,0,1,1Lb,4,1,0,835,19
20,0,0,0,W,0,0,836,19
21,W,1,2,0,0,0,837,19
22,0,1,1,0,0,1,838,19
24,3,1Lb,4,1,1,0,840,19
26,0,0,1,1,0,0,842,19
27,0,1,0,0,0,0,843,19
29,1,4,1,1,1,1,845,19
30,1,1,0,0,1,0,846,19
31,0,1,1,1,0,1,847,19
32,0,0,2,0,4,0,848,19
33,0,0,4,0,1,1,849,19
34,0,1,1,0,1,1,850,19
35,1,1,1,1,1,1,851,19
36,0,6,2,0,0,0,852,19
37,0,4,1,1,4,1,853,19
38,0,1,1,0,1,0,854,19
39,2,2,1,1,1,2,855,19
41,4,1,1,1,0,2,857,19
42,1,0,1,1,1,1,858,19
43,1,4,6,6,4,0,859,19
44,1,1,1,1,1,4,860,19
45,1,6,1,1,6,1,861,19
46,2,1,1,2,2,6,862,19
47,1,4,4,1,0,1,863,19
48,1Lb,6,W,0,1,1,864,19
50,4,1,6,6,1,6,866,19
1,0,0,0,0,0,0,867,20
2,0,4,2,0,1,0,868,20
3,0,0,4,0,1,1,869,20
5,0,0,4,0,1,4,871,20
6,1,0,0,0,1,0,872,20
7,4,0,W,0,W,1,873,20
9,0,0,0,1,0,0,875,20
10,1,W,4,0,1,0,876,20
11,0,0,1,0,0,W,877,20
12,0,0,4,1,0,0,878,20
13,6,0,0,4,1,0,879,20
14,0,0,0,0,0,2,880,20
16,0,1,0,0,0,0,882,20
17,0,0,4B,4,0,1,883,20
18,0,1,1,0,4,1,884,20
19,0,0,0,W,4,0,885,20
20,1,1,4,W,0,0,886,20
21,1,0,0,0,0,2,887,20
22,1Lb,0,1,4,0,0,888,20
23,0,0,W,1,0,6,889,20
24,0,0,0,1,0,0,890,20
25,0,0,4,0,1,4,891,20
26,0,0,0,1,0,1Lb,892,20
2,1,0,0,0,2,0,895,21
4,1,0,0,0,0,3,897,21
6,0,0,4,0,4,0,899,21
8,1,0,0,0,0,0,901,21
10,0,0,0,0,0,1,903,21
11,0,4,0,0,0,0,904,21
12,0,3,0,0,0,0,905,21
13,0,0,0,0,0,0,906,21
14,1,0,1,0,4,4,907,21
15,1,1,0,0,0,1,908,21
16,1,0,0,0,0,1,909,21
18,0,1Lb,1,0,0,1,911,21
19,0,0,6,3,0,1,912,21
20,4,0,2,0,0,W,913,21
21,1,1,1,1,1,0,914,21
22,1,0,0,0,0,0,915,21
23,1,0,1,0,0,0,916,21
24,0,1,0,0,1,3,917,21
25,0,1,0,1,1,2,918,21
26,0,0,0,1,1,1,919,21
27,0,2,1,1,0,0,920,21
28,0,1,1,1,1,0,921,21
29,4,1,1,0,0,0,922,21
30,0,1,1,0,1,0,923,21
31,1,1,1,1,0,0,924,21
32,1,1,1,1,1,1,925,21
33,1,1,0,1,0,0,926,21
34,1,W,4,1,1,0,927,21
35,0,0,0,0,0,1,928,21
36,W,0,0,0,1,W,929,21
37,0,2,0,1,1,1,930,21
38,1,1,0,0,1,0,931,21
39,1,1,1,0,0,1,932,21
40,4,1,0,3,0,0,933,21
